The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:187: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 44113.3828
Batch 20, Loss: 66405.8613
Batch 30, Loss: 32693.9885
Batch 40, Loss: 13869.4256
Batch 50, Loss: 4706.1116
Batch 60, Loss: 2475.0182
Batch 70, Loss: 1780.2371
Batch 80, Loss: 1324.6835
Batch 90, Loss: 1013.1957
Batch 100, Loss: 939.5922
Batch 110, Loss: 753.1762
Batch 120, Loss: 686.2732
Batch 130, Loss: 593.3764
Batch 140, Loss: 724.5808
Batch 150, Loss: 618.8993
Batch 160, Loss: 389.2665
Batch 170, Loss: 413.3417
Batch 180, Loss: 378.9684
Batch 190, Loss: 432.1982
Batch 200, Loss: 360.1983
Batch 210, Loss: 379.3405
Batch 220, Loss: 357.3563
Batch 230, Loss: 344.2258
Batch 240, Loss: 341.7635
Batch 250, Loss: 202.9606
Batch 260, Loss: 231.6790
Batch 270, Loss: 214.9320
Batch 280, Loss: 285.8347
Batch 290, Loss: 216.4449
Batch 300, Loss: 316.8623
Batch 310, Loss: 203.0907
Batch 320, Loss: 186.3483
Batch 330, Loss: 228.7748
Batch 340, Loss: 154.7045
Batch 350, Loss: 139.8357
Batch 360, Loss: 131.3484
Batch 370, Loss: 114.8632
Batch 380, Loss: 163.2431
Batch 390, Loss: 147.7695
Epoch 1 learning rate: 0.05
Epoch 1 time: 128.54159998893738 seconds
Epoch 1 accuracy: 8.58%
Batch 10, Loss: 105.2097
Batch 20, Loss: 117.0396
Batch 30, Loss: 163.8571
Batch 40, Loss: 107.6245
Batch 50, Loss: 135.5119
Batch 60, Loss: 110.3276
Batch 70, Loss: 124.5456
Batch 80, Loss: 67.7635
Batch 90, Loss: 87.1477
Batch 100, Loss: 67.0038
Batch 110, Loss: 88.0135
Batch 120, Loss: 83.0209
Batch 130, Loss: 66.1045
Batch 140, Loss: 112.8262
Batch 150, Loss: 98.1188
Batch 160, Loss: 61.6106
Batch 170, Loss: 111.0775
Batch 180, Loss: 73.2064
Batch 190, Loss: 83.0588
Batch 200, Loss: 93.3720
Batch 210, Loss: 68.0056
Batch 220, Loss: 79.5213
Batch 230, Loss: 72.7286
Batch 240, Loss: 61.5084
Batch 250, Loss: 50.3112
Batch 260, Loss: 56.9057
Batch 270, Loss: 70.9291
Batch 280, Loss: 59.2992
Batch 290, Loss: 62.6561
Batch 300, Loss: 61.4627
Batch 310, Loss: 60.5044
Batch 320, Loss: 48.5955
Batch 330, Loss: 52.5159
Batch 340, Loss: 43.8987
Batch 350, Loss: 36.6424
Batch 360, Loss: 38.6986
Batch 370, Loss: 35.2544
Batch 380, Loss: 32.0914
Batch 390, Loss: 36.8202
Epoch 2 learning rate: 0.05
Epoch 2 time: 119.59073305130005 seconds
Epoch 2 accuracy: 10.01%
Batch 10, Loss: 30.1682
Batch 20, Loss: 41.9642
Batch 30, Loss: 41.1774
Batch 40, Loss: 55.5440
Batch 50, Loss: 34.9650
Batch 60, Loss: 38.8665
Batch 70, Loss: 36.2272
Batch 80, Loss: 36.2027
Batch 90, Loss: 30.4440
Batch 100, Loss: 34.9925
Batch 110, Loss: 33.5065
Batch 120, Loss: 34.3660
Batch 130, Loss: 46.5747
Batch 140, Loss: 73.6424
Batch 150, Loss: 54.1374
Batch 160, Loss: 56.5092
Batch 170, Loss: 42.9947
Batch 180, Loss: 36.2013
Batch 190, Loss: 39.6102
Batch 200, Loss: 38.7791
Batch 210, Loss: 51.7644
Batch 220, Loss: 41.7136
Batch 230, Loss: 59.1807
Batch 240, Loss: 29.0530
Batch 250, Loss: 32.0597
Batch 260, Loss: 33.6503
Batch 270, Loss: 28.1758
Batch 280, Loss: 33.8969
Batch 290, Loss: 27.5859
Batch 300, Loss: 33.0947
Batch 310, Loss: 30.5462
Batch 320, Loss: 28.5584
Batch 330, Loss: 36.2705
Batch 340, Loss: 35.6171
Batch 350, Loss: 28.9998
Batch 360, Loss: 33.4699
Batch 370, Loss: 40.2111
Batch 380, Loss: 22.6415
Batch 390, Loss: 40.5435
Epoch 3 learning rate: 0.05
Epoch 3 time: 119.55766248703003 seconds
Epoch 3 accuracy: 10.67%
Batch 10, Loss: 27.3454
Batch 20, Loss: 22.6754
Batch 30, Loss: 34.5051
Batch 40, Loss: 31.5383
Batch 50, Loss: 24.8440
Batch 60, Loss: 25.9279
Batch 70, Loss: 29.5939
Batch 80, Loss: 21.5000
Batch 90, Loss: 39.5648
Batch 100, Loss: 33.4532
Batch 110, Loss: 20.9449
Batch 120, Loss: 22.4576
Batch 130, Loss: 23.0936
Batch 140, Loss: 22.3841
Batch 150, Loss: 24.6957
Batch 160, Loss: 24.9555
Batch 170, Loss: 22.3156
Batch 180, Loss: 22.6404
